#BIBLE VERSE DESKTOP
 
#name   	Russian Synodal Bible
#copyright	Public Domain
#language	russian 
#charset	russian

; В программе использованны цитаты,
; взятые из Русской Синоидальной Библии.

Владеющий собою лучше завоевателя города	Прит.16:32
Горнило-для золота, а сердца испытывает Господь	Прит.17:3
Веселое сердце благотворно, как врачевство	Прит.17:22
Унылый дух сушит кости	Прит.17:22
Разумный воздержен в словах своих	Прит.17:27
Имя Господа-крепкая башня	Прит.18:10
Смерть и жизнь-во власти языка	Прит.18:21
Кто хочет иметь друзей, тот и сам должен быть дружелюбным	Прит.18:24
Благоразумие делает человека медленным на гнев	Прит.19:11
Хранящий заповедь хранит душу свою	Прит.19:16
Благотворящий бедному дает взаймы Господу	Прит.19:17
Честь для человека-отстать от ссоры	Прит.20:3
Предоставь Господу, и Он сохранит тебя	Прит.20:22
Господь взвешивает сердца	Прит.21:2
Доброе имя лучше большого богатства	Прит.22:1
Милосердый будет благословляем	Прит.22:9
Сонливость оденет в рубище	Прит.23:21
Мудростью устрояется дом и разумом утверждается	Прит.24:3
С обдуманностью веди войну твою	Прит.24:6
Успех будет при множестве совещаний	Прит.24:6
Ибо семь раз упадет праведник, и встанет	Прит.24:16
Мягкий язык переламывает кость	Прит.25:15
Праведник смел, как лев	Прит.28:1
Когда торжествуют праведники, великая слава	Прит.28:12
Кто возделывает землю свою, тот будет насыщаться хлебом	Прит.28:19
Праведник тщательно вникает в тяжбу	Прит.29:7
Смиренный духом приобретает честь	Прит.29:23
Всему свое время, и время всякой вещи под небом	Еккл.3:1
Время разбрасывать камни, и время собирать камни	Еккл.3:5
Время молчать, и время говорить	Еккл.3:7
Все, что делает Бог, пребывает вовек	Еккл.3:14
И нитка, втрое скрученная, нескоро порвется	Еккл.4:12
Когда идешь в дом Божий, будь готов более к слушанию	Еккл.4:17
Много таких вещей, которые умножают суету	Еккл.6:11
Гнев гнездится в сердце глупых	Еккл.7:9
Бог сотворил человека правым, а люди пустились во многие помыслы	Еккл.7:29
Мудрость человека просветляет лице его	Еккл.8:1
Сердце мудрого знает и время и устав	Еккл.8:5
Благо будет боящимся Бога	Еккл.8:12
Да не оскудевает елей на голове твоей	Еккл.9:8
Все, что может рука твоя делать, по силам делай	Еккл.9:10
Мудрость лучше воинских орудий	Еккл.9:18
Кто копает яму, тот упадет в нее	Еккл.10:8
Кто разрушает ограду, того ужалит змей	Еккл.10:8
Отпускай хлеб твой по водам	Еккл.11:1
Кто наблюдает ветер, тому не сеять	Еккл.11:4
Помни Создателя твоего в дни юности твоей	Еккл.12:1
Суета сует, сказал Екклесиаст, всё-суета!	Еккл.12:8
Бойся Бога и заповеди Его соблюдай, потому что в этом всё для человека	Еккл.12:13
Ловите нам лисиц, лисенят, которые портят виноградники	Песн.2:15
Большие воды не могут потушить любви	Песн.8:7
Научитесь делать добро	Ис.1:17
Если будут грехи ваши, как багряное,-как снег убелю	Ис.1:18
Научит Он нас Своим путям и будем ходить по стезям Его	Ис.2:3
Кого Мне послать? и кто пойдет для Нас?	Ис.6:8
И я сказал: вот я, пошли меня	Ис.6:8
Господь-сила моя, и пение мое-Господь	Ис.12:2
Господь Бог есть твердыня вечная	Ис.26:4
Народ мой будет жить в обители мира	Ис.32:18
Пробьются воды в пустыне	Ис.35:6
Как пастырь Он будет пасти стадо свое	Ис.40:11
Он дает утомленному силу, и изнемогшему дарует крепость	Ис.40:29
Надеющиеся на Господа обновятся в силе	Ис.40:31
Потекут и не устанут, пойдут и не утомятся	Ис.40:31
Я Господь, Бог твой; держу тебя за правую руку твою	Ис.41:13
Не бойся, Я помогаю тебе	Ис.41:13
Пустыню сделаю озером и сухую землю-источниками воды	Ис.41:18
Мрак сделаю светом пред ними	Ис.42:16
Я проложу дорогу в степи, реки в пустыне	Ис.43:19
Я Сам изглаживаю преступления твои	Ис.43:25
Обратись ко Мне, ибо Я искупил тебя	Ис.44:22
Из уст Моих исходит правда, слово неизменное	Ис.45:23
Я Господь, Бог твой, научающий тебя полезному	Ис.48:17
Я вложу слова Мои в уста твои	Ис.51:16
Тению руки Моей покрою тебя	Ис.51:16
Он был презрен и умален пред людьми, муж скорбей и изведавший болезни	Ис.53:3
Но Он взял на Себя наши немощи и понес наши болезни	Ис.53:4
Он изъязвлен был за грехи наши и мучим за беззакония наши	Ис.53:5
Наказание мира нашего было на Нем	Ис.53:5
Ранами Его мы исцелились	Ис.53:5
Господь возложил на Него грехи всех нас	Ис.53:6
На подвиг души Своей Он будет смотреть с довольством	Ис.53:11
Он понес на Себе грех многих и за преступников сделался ходатаем	Ис.53:12
Распространи место шатра твоего	Ис.54:2
Милость Моя не отступит от тебя	Ис.54:10
Ни одно орудие, сделанное против тебя, не будет успешно	Ис.54:17
Ты будешь, как напоенный водою сад	Ис.58:11
Господь будет для тебя вечным светом	Ис.60:20
Во всякой скорби их Он не оставлял их	Ис.63:9
Расспросите о путях древних, где путь добрый, и идите по нему	Иер.6:16
Я с тобою, чтобы спасать и избавлять тебя	Иер.15:20
Я, Господь, проникаю сердце и испытываю внутренности	Иер.17:10
Взыщете Меня и найдете, если взыщете Меня всем сердцем вашим	Иер.29:13
Я прощу беззакония их и грехов их уже не воспомяну более	Иер.31:34
Я Господь, Бог всякой плоти; есть ли что невозможное для Меня?	Иер.32:27
Буду радоваться о них, благотворя им	Иер.32:41
Воззови ко Мне-и Я отвечу тебе	Иер.33:3
Покажу тебе великое и недоступное, чего ты не знаешь	Иер.33:3
Послушай гласа Господа	Иер.38:20
Идите и присоединитесь к Господу	Иер.50:5
Благ Господь к надеющимся на Него	Плач.3:25
Испытаем и исследуем пути свои, и обратимся к Господу	Плач.3:40
Вознесем сердце наше и руки к Богу, сущему на небесах	Плач.3:41
Отвергните от себя все грехи ваши, которыми согрешали вы	Иез.18:31
Приму вас, как благовонное курение	Иез.20:41
И дождь буду ниспосылать в свое время	Иез.34:26
Будут дожди благословения	Иез.34:26
И дам вам сердце новое, и дух новый дам вам	Иез.36:26
Бог наш, Которому мы служим, силен спасти нас	Дан.3:17
Я милости хочу, а не жертвы	Ос.6:6
Обратитесь ко Мне всем сердцем своим	Иоил.2:12
Радуйтесь и веселитесь о Господе Боге вашем	Иоил.2:23
Излию от Духа Моего на всякую плоть	Иоил.2:28
Всякий, кто призовет имя Господне, спасется	Иоил.2:32
Господь будет защитою для народа Своего	Иоил.3:16
Взыщите Меня-и будете живы	Ам.5:4
Близок день Господень на все народы	Авд.1:15
У Господа спасение	Иона.2:10
Мы будем ходить во имя Господа Бога нашего	Мих.4:5
Я буду уповать на Бога спасения моего	Мих.7:7
Господь знает надеющихся на Него	Наум.1:7
Праведный своею верою жив будет	Авв.2:4
Господи! соверши дело Твое среди лет	Авв.3:2
Господь Бог твой среди тебя, Он силен спасти тебя	Соф.3:17
Обратите сердце ваше на пути ваши	Агг.1:7
Ободрись ныне… ибо Я с вами, говорит Господь	Агг.2:4
Дух Мой пребывает среди вас: не бойтесь!	Агг.2:5
Не бойтесь; да укрепятся руки ваши!	Зах.8:13
Ибо Я-Господь, Я не изменяюсь	Мал.3:6
Принесите все десятины в дом хранилища	Мал.3:10
Блаженными называть будут вас все народы	Мал.3:12
Для вас, благоговеющие пред именем Моим, взойдет Солнце правды	Мал.4:2
Приготовьте путь Господу, прямыми сделайте стези Ему	Мат.3:3
Сотворите же достойный плод покаяния	Мат.3:8
Он будет крестить вас Духом Святым и огнем	Мат.3:11
И Он очистит гумно Свое и соберет пшеницу Свою в житницу	Мат.3:12
Не хлебом одним будет жить человек	Мат.4:4
Господу Богу твоему поклоняйся	Мат.4:10
Покайтесь, ибо приблизилось Царство Небесное	Мат.4:17
Идите за Мною, и Я сделаю вас ловцами человеков	Мат.4:19
Блаженны нищие духом, ибо их есть Царство Небесное	Мат.5:3
Блаженны плачущие, ибо они утешатся	Мат.5:4
Блаженны кроткие, ибо они наследуют землю	Мат.5:5
Блаженны милостивые, ибо они помилованы будут	Мат.5:7
Блаженны чистые сердцем, ибо они Бога узрят	Мат.5:8
Блаженны миротворцы, ибо они будут наречены сынами Божиими	Мат.5:9
Вы-свет мира. Не может укрыться город, стоящий на верху горы.	Мат.5:14
Так да светит свет ваш пред людьми	Мат.5:16
Итак будьте совершенны, как совершен Отец ваш Небесный	Мат.5:48
Знает Отец ваш, в чем вы имеете нужду	Мат.6:8
Но собирайте себе сокровища на небе	Мат.6:20
Ибо где сокровище ваше, там будет и сердце ваше	Мат.6:21
Ищите же прежде Царства Божия и правды Его	Мат.6:33
Просите, и дано будет вам	Мат.7:7
Ищите, и найдете	Мат.7:7
Стучите, и отворят вам	Мат.7:7
Отец ваш Небесный даст блага просящим у Него	Мат.7:11
Тесны врата и узок путь, ведущие в жизнь	Мат.7:14
Дерзай… прощаются тебе грехи твои	Мат.9:2
Веруете ли, что Я могу это сделать?	Мат.9:28
Жатвы много, а делателей мало	Мат.9:37
Даром получили, даром давайте	Мат.10:8
Будьте мудры, как змии, и просты, как голуби	Мат.10:16
Что на ухо слышите, проповедуйте на кровлях	Мат.10:27
Придите ко Мне все труждающиеся и обремененные, и Я успокою вас	Мат.11:28
Научитесь от Меня, ибо Я кроток и смирен сердцем	Мат.11:29
Иго Мое благо, и бремя Мое легко	Мат.11:30
Трости надломленной не переломит	Мат.12:20
Кто не собирает со Мною, тот расточает	Мат.12:30
Праведники воссияют, как солнце, в Царстве Отца	Мат.13:43
Еще подобно Царство Небесное сокровищу, скрытому на поле	Мат.13:44
Я создам Церковь Мою, и врата ада не одолеют ее	Мат.16:18
Многие же будут первые последними, и последние первыми	Мат.19:30
Претерпевший же до конца спасется	Мат.24:13
И проповедано будет сие Евангелие Царствия по всей вселенной	Мат.24:14
Небо и земля прейдут, но слова Мои не прейдут	Мат.24:35
Кто же верный и благоразумный раб?	Мат.24:45
Бодрствуйте и молитесь, чтобы не впасть в искушение	Мат.26:41
Дух бодр, плоть же немощна	Мат.26:41
Итак идите, научите все народы	Мат.28:19
И се, Я с вами во все дни до скончания века	Мат.28:20
Встав весьма рано… молился	Мар.1:35
И которые прикасались к Нему, исцелялись	Мар.6:56
Что хотите, чтобы Я сделал вам?	Мар.10:36
Покайтесь и веруйте в Евангелие	Мар.11:15
Идите по всему миру и проповедуйте Евангелие	Мар.16:15
Блаженны плачущие ныне, ибо воссмеетесь	Лук.6:21
Возьми крест и следуй за Мною	Лук.9:23
В начале было Слово, и Слово было у Бога, и Слово было Бог	Иоан 1:1
И свет во тьме светит, и тьма не объяла его	Иоан 1:5
А тем, которые приняли Его… дал власть быть чадами Божиими	Иоан 1:12
И Слово стало плотию, и обитало с нами	Иоан 1:14
Исправьте путь Господу	Иоан 1:23
Отныне будете видеть небо отверстым	Иоан 1:51
Если кто не родится свыше, не может увидеть Царствия Божия	Иоан 3:3
Рожденное от Духа есть дух	Иоан 3:6
Дух дышит, где хочет, и голос его слышишь	Иоан 3:8
Ибо так возлюбил Бог мир, что отдал Cына Своего	Иоан 3:16
Поступающий по правде идет к свету	Иоан 3:21
Верующий в Сына имеет жизнь вечную	Иоан 3:36
Истинные поклонники будут поклоняться Отцу в духе и истине	Иоан 4:23
Бог есть дух, и поклоняющиеся Ему должны поклоняться в духе и истине	Иоан 4:24
Моя пища есть творить волю Пославшего Меня и совершить дело Его	Иоан 4:34
Жнущий получает награду и собирает плод в жизнь вечную	Иоан 4:36
И сеющий и жнущий вместе радоваться будут	Иоан 4:36
Ты выздоровел; не греши больше	Иоан 5:14
Исследуйте Писания, ибо вы думаете чрез них иметь жизнь вечную	Иоан 5:39
Старайтесь не о пище тленной, но о пище, пребывающей в жизнь вечную	Иоан 6:27
Вот дело Божие, чтобы вы веровали в Того, Кого Он послал	Иоан 6:29
Ибо хлеб Божий есть тот, который сходит с небес и дает жизнь миру	Иоан 6:33
Верующий в Меня не будет жаждать никогда	Иоан 6:35
Приходящий ко Мне не будет алкать	Иоан 6:35
Приходящего ко Мне не изгоню вон	Иоан 6:37
Верующий в Меня имеет жизнь вечную	Иоан 6:47
Дух животворит; плоть не пользует нимало	Иоан 6:63
Слова, которые говорю Я вам, суть дух и жизнь	Иоан 6:63
Кто жаждет, иди ко Мне и пей	Иоан 7:37
Кто верует в Меня, у того… из чрева потекут реки воды живой	Иоан 7:38
Кто последует за Мною, тот не будет ходить во тьме	Иоан 8:12
Если пребудете в слове Моем, то вы истинно Мои ученики	Иоан 8:31
И познаете истину, и истина сделает вас свободными	Иоан 8:32
Всякий, делающий грех, есть раб греха	Иоан 8:34
Кто от Бога, тот слушает слова Божии	Иоан 8:47
Кто соблюдет слово Мое, тот не увидит смерти вовек	Иоан 8:51
Я есмь дверь: кто войдет Мною, тот спасется	Иоан 10:9
Я пришел для того, чтобы имели жизнь и имели с избытком	Иоан 10:10
Я есмь пастырь добрый: пастырь добрый полагает жизнь свою за овец	Иоан 10:11
Я есмь пастырь добрый; и знаю Моих, и Мои знают Меня	Иоан 10:14
Овцы Мои слушаются голоса Моего, и Я знаю их; и они идут за Мною	Иоан 10:27
И никто не похитит их из руки Моей	Иоан 10:28
Я есмь воскресение и жизнь	Иоан 11:25
Если будешь веровать, увидишь славу Божию	Иоан 11:40
Кто Мне служит, того почтит Отец Мой	Иоан 12:26
Кто Мне служит, Мне да последует	Иоан 12:26
Доколе свет с вами, веруйте в свет, да будете сынами света	Иоан 12:36
Заповедь новую даю вам, да любите друг друга	Иоан 13:34
Узнают все, что вы Мои ученики, если будете иметь любовь между собою	Иоан 13:35
Да не смущается сердце ваше; веруйте в Бога, и в Меня веруйте	Иоан 14:1
Приду опять и возьму вас к Себе	Иоан 14:3
Я есмь путь и истина и жизнь	Иоан 14:6
Верующий в Меня, дела, которые творю Я, и он сотворит	Иоан 14:12
И если чего попросите у Отца во имя Мое, то сделаю	Иоан 14:13
