#BIBLE VERSE DESKTOP

#name   	Turkish Bible
#language	turkish

; Scripture taken from the Turkish Bible. 

Tanrının isteğini yerine getiren sonsuza dek yaşar	1 Yuhanna 2:17
Sadakati kuşaklar boyunca sürer	Mezmurlar 99:5
Ya RAB, Sadakatin gökyüzüne erişir	Mezmurlar 35:6
Evet, yavrularım, şimdi Mesihte yaşayın	1 Yuhanna 2:28
Gayretle arayan beni bulur	Süleyman'ın Özdeyişleri 8:17
Canım sana sımsıkı sarılır	Mezmurlar 62:9
Ya RAB, sana yakarıyorum	Yoel 1:19
Her biri kendi emeğinin karşılığını alacaktır	1 Korintliler 3:8
Ey RAB, Ne yüce adın var yeryüzünün tümünde!	Mezmurlar 8:10
Hakkımdaki düşüncelerin ne değerli, ey Tanrı	Mezmurlar 138:17
Onun yolları ne denli anlaşılmazdır	Romalılar 11:33
Sürüsünü çoban gibi güdecek	Yeşaya 40:11
İyi haber müjdeleyenlerin ayakları ne güzeldir	Romalılar 10:15
Sana güvenirim korktuğum zaman	Mezmurlar 55:4
Senin kutsadığın kişi kutsanacağdır	Çölde Sayım 22:6
Rabbimiz sizi sonuna dek pekiştirecektir	1 Korintliler 1:8
Bizim günahlarımıza karşılık kendini feda etti	Galatyalılar 1:4
İsanın kanı bizi her günahtan arındırır	1 Yuhanna 1:7
Bir kimse Mesihteyse, yeni yaratıktır	2 Korintliler 5:17
Bir kimse benim aracılığımla içeri girerse kurtulur	Yuhanna 10:9
Bir kimse susamışsa bana gelsin, içsin	Yuhanna 7:37
Güvenli ve akıllı köle kimdir ?	Matta 24:45
Tanrıyı seveni Tanrı bilir	1 Korintliler 8:3
Bana hizmet etmek isteyen, ardımdan gelsin	Yuhanna 12:26
Ona bakanların yüzü ışıl ışıl parlar	Mezmurlar 33:6
Benim ardımdan gelen, yaşam ışığına sahip olur	Yuhanna 8:12
Az eken az biçer, çok eken çok biçer	2 Korintliler 9:6
Alnı ak yaşayan kurtulur	Süleyman'ın Özdeyişleri 28:18
Ben siz uluslar uğruna İsanın tutuklusu oldum	Efesliler 3:20,21
RABbe sığınmak İnsana güvenmekten iyidir	Mezmurlar 117:8
Ruh aracılığıyla Tanrının sevgisi yüreklerimize dökülmüştür	Romalılar 5:5
Tanrı bizi sevdiğini gösterdi	1 Yuhanna 4:9
Tanrını sevenler, her durumda iyilik için etkin olduğunu biliriz	Romalılar 8:28
Cömert olan kutsanır	Süleyman'ın Özdeyişleri 22:9
Sadakatim senin üzerinde	Yeşaya 54:10
Merhamet yargıya galip gelir	Yakup 2:13
Alçakgönüllülüğün yüceltir beni	Mezmurlar 17:36
Doğru kişinin yalvarışı çok güçlü ve etkilidir	Yakup 5:16
RAB sana bundan çok daha fazlasını verebilir	2 Tarihler 25:9
İmanla edilen dua hastayı iyileştirecek	Yakup 5:15
RAB doğruların duasını duyar	Süleyman'ın Özdeyişleri 15:29
Karanlığı önlerinde ışığa çevireceğim	Yeşaya 42:16
Biz Mesih uğruna akılsızız, ama siz Mesihte akıllısınız	1 Korintliler 4:10
Biz sonsuza dek Tanrımız RABbin izinden gideceğiz	Mika 4:5
Gündüze ait olan bizlerse, ayık duralım	1 Selanikiler 5:8
 Tanrının  göklerde sonsuza dek kalacak bir evimiz- vardır	2 Korintliler 5:1
Ama biz çarmıha gerilmiş Mesihi duyuruyoruz	1 Korintliler 1:23
Gözle görülene değil, imana dayanarak yaşarız	2 Korintliler 5:7
Lütfu ile bir ömür sabahla sevinç doğar	Mezmurlar 29:6
RABbe sığınırım	Mezmurlar 10:1
Ezgilerle Ona şükrediyorum  ve yardım görüyorum	Mezmurlar 27:7
Ben senin kurtarışını bekliyorum, ya RAB	Yaratılış 49:18
Halkının üzerinde olsun bereketin!	Mezmurlar 3:9
Onun üzerine yeni adımı yazacağım	Vahiy 3:12
Öncülük et bana sonsuz yaşam yolunda	Mezmurlar 138:24
Onun adı Güçlü Tanrı, olacak	Yeşaya 9:6
Halkım esenlik dolu evlerde yaşayacak	Yeşaya 32:18
İşte RABbin günü geliyor!	Zekeriya 14:1
Artık sizin için uykudan uyanma saati gelmiştir	Romalılar 13:11
Ya RAB, yolunu öğret bana	Mezmurlar 26:11
Bana istemini yapmayı öğret, Çünkü Tanrımsın benim	Mezmurlar 142:10
O bize kendi yolunu öğretecek	Yeşaya 2:3
İyilik etmeyi öğrenin	Yeşaya 1:17
Bizim paydaşlığımız da Babayla ve Oğlu İsa Mesihledir.	1 Yuhanna 1:3
Korkma, sana yardım edeceğim	Yeşaya 41:13
Korkmayın, yürekli olun	Zekeriya 8:13
Canımı hiç önemsemiyorum	Elçilerin İşleri 20:24
RABbe övgüler sun, ey canım! İyiliklerinin hiçbirini unutma!	Mezmurlar 102:2
Tanrı,günahı bilmeyen Mesih'i bizim için günah sunusu yaptı	2 Korintliler 5:21
Rab vaadini yerine getirmekte gecikmez	2 Petrus 3:9
Ama yoksul büsbütün unutulmayacak	Mezmurlar 9:19
Tanrının Kutsal Ruhunu kederlendirmeyin	Efesliler 4:30
Gazap günü servet işe yaramaz	Süleyman'ın Özdeyişleri 11:4
Başkasını yargılamayın ki, siz de yargılanmayasınız	Matta 7:1
İnsan yalnız ekmekle yaşamaz	Matta 4:4
Hayır! RABbe kulluk edeceğiz	Yeşu Н.24:21
Bize yeniden yaşam vermeyecek misin?	Mezmurlar 84:7
Her zaman iyiliği amaç edinin	1 Timoteos 5:15
Doğruluk uğruna acı çekseniz bile, ne mutlu size!	1 Petrus 3:14
Sıkıntıya düştüklerinde RABbe döndüler, Onu arayıp buldular	2 Tarihler 15:4
Ona gore RAB sizi sevdi	Yasa'nın Tekrarı 7:8
Hazineye toprak kaplar içinde sahibiz	2 Korintliler 4:7
Ya RAB, uzak durma benden	Mezmurlar 21:20
Oysa Mesih,ölümden dirilmiştir	1 Korintliler 15:20
Ama Nuh RABbin gözünde lütuf buldu	Yaratılış 6:8
Tanrının zenginliği ne büyük, bilgeliği ve bilgisi ne derindir	Romalılar 11:33
Gün boyu senin adınla sevinir	Mezmurlar 88:17
Rab İsa Mesih'i kuşanın	Romalılar 13:14
Son olarak Rabde, Onun üstün gücüyle güçlenin	Efesliler 6:10
Işığın silahlarını kuşanalım	Romalılar 13:12
Bana dönün, çünkü sizi kurtardım	Yeşaya 44:22
Dostuyum bütün senden korkanların	Mezmurlar 118:63
Rab hepsinin Rabbidir. Kendisini çağıranların tümüne eliaçıktır	Romalılar 10:12
Cektiği acılarla söz dinlemeyi öğrendi	İbraniler 5:8
Doğrunun umudu onu sevindirir	Süleyman'ın Özdeyişleri 10:28
İsa Mesihin merhametini beklerken kendinizi  koruyun	Yahuda 21
Günahlarımızı çarmıhta kendi bedeninde yüklendi	1 Petrus 2:24
O görevini yüreğiyle yerine getirdi.Bu sayede başarılı oldu	2 Tarihler 31:21
Mesih yeni antlaşmanın aracısı oldu	İbraniler 9:15
İsrail'i bütün suçlarından Fidyeyle O kurtaracaktır	Mezmurlar 129:8
Yardım isteyen yoksulu, Dayanağı olmayan düşkünü o kurtarır	Mezmurlar 71:12
O susamış canın susuzluğunu giderir, Aç canı iyiliklerle doyurur	Mezmurlar 106:9
İsa kardeşlerim demekten utanmıyor	İbraniler 2:11
O beni Sakin suların kıyısına götürür	Mezmurlar 22:2
Ağızlarından hiç yalan çıkmamıştır	Vahiy 14:5
Onlar yok olacak, ama sen kalıcısın	Mezmurlar 101:27
 RAB  Yüzünün ışığında yürürler	Mezmurlar 88:16
