#BIBLE VERSE DESKTOP
 
#name   	Ukrainian Bible
#copyright	Public Domain
#language	ukrainian

; В программе использованны цитаты,
; взятые из Украинской Библии.

Які прекрасні ноги тих, що благовістять мир	Рим.10:15
Коли страх обгортає мене, я на Тебе надію кладу	Пс.55:4
Кого ти благословиш, той благословенний	Числ.22:6
Який утвердить вас до кінця	1Кор.1:8
Який віддав Самого Себе за гріхи наші	Гал.1:4
Кров Ісуса Христа, Сина Божого, очищає нас від усякого гріха	1Ін.1:7
Хто в Христі, той нове творіння	2Кор.5:17
Хто через Мене увійде, спасеться	Ін.10:9
Хто прагне, іди до Мене і пий	Ін.7:37
Хто ж вірний і розсудливий раб?	Мт.24:45
Хто любить Бога, тому дано знання від Нього	1Кор.8:3
Хто служить Мені, того вшанує Отець	Ін.12:26
Приглядайтесь до Нього - й засяєте	Пс.33:6
Хто йде вслід за Мною... матиме світло життя	Ін.8:12
Хто сіє щедро, пожне також щедро	2Кор.9:6
Хто ходить нехибно, той буде непошкоджений	Прит.28:18
Хто... може зробити незрівняно більше...Тому слава	Еф.3:20,21
Краще вдаватись до Господа	Пс.117:8
Любов Божа влилась в серця наші Духом Святим	Рим.5:5
Любов Божа до нас відкрилась	1Ін.4:9
А знаємо, що все діє на добро тим, хто любить Бога	Рим.8:28
Милосердий буде благословенний	Прит.22:9
Милість Моя не відступить від тебе	Іс.54:10
Милосердя є вище суду	Як.2:13
І чинить великим мене поміч Твоя	Пс.17:36
Багато може щира молитва праведного	Як.5:16
Може Господь дати тобі більше цього	2Пар.25:9
Молитва віри вздоровить хворого	Як.5:15
Молитву праведників чує	Прит.15:29
Мрак зроблю світлом перед ними	Іс.42:16
Ми безумні ради Христа	1Кор.4:10
Ми будемо ходити в ім`я Господа Бога нашого	Міх.4:5
Ми, що належимо дневі, будьмо тверезі	1Сол.5:8
Ми маємо на небі житло від Бога	2Кор.5:1
Ми проповідуємо Христа розп`ятого	1Кор.1:23
Ми ходимо вірою, а не видінням	2Кор.5:7
Все життя - в Своїй ласці	Пс.29:6
Я надіюсь на Господа	Пс.10:1
На Нього надіялось серце моє, - й Він мені допоміг	Пс.27:7
На допомогу Твою сподіваюся, Господи	Бут.49:18
Над народом Твоїм - Твоє благословення	Пс.3:9
Напишу на Ньому... ім`я Моє нове	Об.3:12
І на вічну дорогу мене попровадь	Пс.138:24
Наречуть ім`я Йому... Бог міцний	Іс.9:6
Народ мій буде жити в обителі світу	Іс.32:18
Настає день Господній	Зах.14:1
Вже пора вам пробудитися від сну	Рим.13:11
Дорогу Свою покажи мені, Господи	Пс.26:11
Навчи мене волю чинити Твою, бо Ти - Бог мій	Пс.142:10
Навчить Він нас своїм шляхам	Іс.2:3
Навчіться робити добро	Іс.1:17
Наше єднання - з Отцем і Сином Його, Ісусом Христом	1Ін.1:3
Не бійся, Я допомагаю тобі	Іс.41:13
"Не бійтеся; так зміцняться руки ваші!	Зах.8:13"
Своє життя не вважаю для себе цінним	Дії.20:24
Не забувай за всі добродійства Його!	Пс.102:2
Того, Хто не знав гріха, Бог зробив для нас жертвою за гріх	2Кор.5:21
Господь не бариться з виконанням обітниці	2Петр.3:9
Не навіки забудеться бідний	Пс.9:19
Не засмучуйте Божого Духа Святого	Еф.4:30
Не допоможе багатство в день гніву	Прит.11:4
Не судіть, щоб і ви не були осуджені	Мт.7:1
Не хлібом єдиним буде жити людина	Мт.4:4
Ні, ми Господові будемо служити	Іс.Н.24:21
Невже не оживиш Ти знову нас?	Пс.84:7
Завжди старайтеся робити добро...	1Сол.5:15
Але, навіть коли ви і страждаєте за правду, то ви блаженні	1Петр.3:14
Але коли він... знайде Його, Він дасть їм знайти Себе	2Пар.15:4
Але тому, що любить вас Господь	Дрзкн.7:8
Але скарб цей ми носимо в глиняних посудинах	2Кор.4:7
А Ти, Господи, не віддаляйся від мене	Пс.21:20
Але Христос воскрес з мертвих	1Кор.15:20
Ной знайшов благодать перед очима Господа	Бут.6:8
О, глибино багатства і премудрості і знання Божого!	Рим.11:33
Радіють вони цілий день Твоїм Іменням	Пс.88:17
Зодягніться в Господа нашого Ісуса Христа	Рим.13:14
Зодягніться в Господа нашого Ісуса Христа	Рим.13:14
Зміцнюйтесь в Господі і в могутності сили Його	Еф.6:10
Зодягнімося в зброю світла	Рим.13:12
Звернися до Мене, бо Я спокутував за тебе	Іс.44:22
Я приятель всім, хто боїться Тебе	Пс.118:63
Один Господь у всіх, багатий для всіх, хто кличе Його	Рим.10:12
Проте навчився покірності через страждання	Євр.5:8
Чекання праведників - радість	Прит.10:28
Чекаючи милості Господа нашого Ісуса Христа	Іуда 21
Він Сам возніс гріхи наші тілом Своїм на дерево	1Петр.2:24
Він діяв від усього серця свого, і мав успіх	2Пар.31:21
Він - Посередник нового Завіту	Євр.9:15
Ізраїля визволить Він від усіх його прогріхів	Пс.129:8
Визволить Він бідаря, що голосить, та вбогого, що немає собі допомоги	Пс.71:12
Бо наситив Він спрагнену душу	Пс.106:9
Він не соромиться називати їх братами	Євр.2:11
Він душу мою відживляє	Пс.22:3
Вони непорочні перед престолом Божим	Об.14:5
Позникають вони, а Ти будеш стояти	Пс.101:27
Господи, вони ходять у світлі обличчя Твого	Пс.88:16
Вони... обмили одежі свої в крові Агнця	Об.7:14
Виправдавшись вірою, маємо мир з Богом	Рим.5:1
Залишаючись на місці й у спокої, ви б врятувалися	Іс.30:15
Від таємних очисть Ти мене	Пс.18:13
Тиснуть нас з усіх сторін, але ми не в тісноті	2Кор.4:8
Отець послав Сина Спасителем світу	1Ін.4:14
Вхід у слова Твої світло дає, недосвідчених мудрими робить	Пс.118:130
Очі Господні звернені до праведних	1Петр.3:12
Пасха наша, Христос, принесений у жертву за нас	1Кор.5:7
Поживу його щедро благословлю	Пс.131:15
Пам`ятай мене, Господи, в ласці Своїй	Пс.24:7
Переможець успадковує все	Об.21:7
Подвигом добрим я боровся	2Тим.4:7
Підкріпи Ти мене - і спасуся	Пс.118:117
Господь знає Своїх	2Тим.2:19
Додолу впадіть ув оздобі святій перед Господом	Пс.95:9
Покоріться Богу, протистаньте дияволові	Як.4:7
Мудрість... повна милосердя та добрих діл	Як.3:17
Радість велика з Тобою	Пс.15:11
Покладіть ці слова Мої в серце ваше й у душу вашу	Дрзкн.11:18
Наша поміч - ув Імені Господа	Пс.123:8
Згадай мене, Боже мій, на благо мені	Неєм.13:31
Послухай гласу Господа	Єр.38:20
Хто творить правду, йде до світла	Ін.3:21
Пошли Своє світло та правду Свою	Пс.42:3
На Господа здай дорогу свою	Пс.36:5
Надай Господові, і Він збереже тебе	Прит.20:22
Преподобні Твої нехай насолодяться благами	2Пар.6:41
Хто ж витерпить до кінця - спасеться	Мт.24:13
Я надіюсь на Нього	Пс.90:2
Наблизьтесь до Бога, і наблизиться до вас	Як.4:8
Прийду знову і візьму вас до Себе	Ін.14:3
Прихили, Боже мій, вухо Твоє й почуй	Дан.9:18
Примиріться з Богом	2Кор.5:20
Прийму вас, як запашне паління	Єз.20:41
Хто приходить до Мене, не буде голодувати	Ін.6:35
Прихід Господній наблизився	Як.5:8
Проб`ються води в пустелі й у степу потоки	Іс.35:6
Прославляйте Бога в тілі своєму і в дусі своєму	1Кор.6:20
Гріхи вам прощені ради імені Його	1Ін.2:12
Ради Ймення Свого провадь мене й керуй мною	Пс.30:4
Радість перед Богом - підкріплення для вас	Неєм.8:10
Радійте, удосконалюйтеся, утішайтеся	2Кор.13:11
Чи ви не знаєте, що ви храм Божий	1Кор.3:16
Розумний стриманий у словах своїх	Прит.17:27
Ранами Його ви зцілилися	1Петр.2:24
Розпитайте про шляхи древні, де шлях добрий, і йдіть по ньому	Єр.6:16
Народжений від Бога, переможе світ	1Ін.5:4
Сам Господь миру нехай дасть вам мир завжди	2Сол.3:16
Свят, свят, свят Господь Бог Вседержитель	Об.4:8
Свят, свят, свят Господь Саваоф	Іс.6:3
Ось Цар твій іде до тебе	Мт.21:5
Цей Ісус... прийде так само	Дії.1:11
Цей... може спасати завжди...	Євр.7:24-25
Сила Моя звершується в немочі	2Кор.12:9
Слово ваше нехай буде завжди ласкаве	Кол.4:6
Слово Господнє є віковічне	1Петр.1:25
Для моєї ноги Твоє слово - світильник	Пс.118:105
Смиренним дає благодать	Як.4:6
Смиріться перед Богом	Як.4:10
Дивіться, яку любов дав нам Отець	1Ін.3:1
Довершуючи наше освячення в страху Божому	2Кор.7:1
Хто поєднується з Господом, той є один дух з Ним	1Кор.6:17
Зберігайте себе в любові Божій	Іуда 21
Який спас нас і покликав святим покликом	2Тим.1:9
Здібність наша від Бога	2Кор.3:5
Дбайте про мир зі всіма і про святість	Євр.12:14
Стоїте в одному дусі й однодушно...	Фил.1:27
Стопи святих Своїх Він дотримує	1Цар.2:9
Чужинці та пришельці на землі	Євр.11:13
Страх Господній - джерело життя	Прит.14:27
Страх Господній є щира премудрість	Іов 28:28
Син мій! зберігай слова мої	Прит.7:1
Приязнь Господня до тих, хто боїться Його	Пс.24:14
Біжіть так, щоб одержати	1Кор.9:24
Так нехай і ваше світло світить перед людьми	Мт.5:16
Так нам і жити обновленим життям	Рим.6:4
Так само і Дух допомагає нам в немочах наших	Рим.8:26
Тінню руки Моєї покрию тебе	Іс.51:16
Тільки бійтеся Господа і служіть Йому істинно	1Цар.12:24
Тільки Господа, Бога вашого, шануйте	4Цар.17:39
Той, Хто у вас, більший за того, хто у світі	1Ін.4:4
Тростини надломленої не переломить	Мт.12:20
Ти будеш, як напоєний водою сад	Іс.58:11
"Ти тепер одужав; не гріши більше	Ін.5:14"
Ти вивідуєш серця... о праведний Боже!	Пс.7:10
Ти, Господи, добрий і вибачливий...	Пс.85:5
Темрява минає і правдиве світло вже світить	1Ін.2:8
У Господа порятунок	Іона.2:10
Вмовляючи їх перебувати у вірі	Дії.14:22
Побачать слухняні, - і будуть радіти	Пс.68:33
Померти вже не можуть... ставши синами воскресіння	Лк.20:36
Примножує Христос і втіху нашу	2Кор.1:5
Надіюсь на Божую милість на вічні віки	Пс.51:10
Устами визнають для спасіння	Рим.10:10
Сповни слово Своє, що на страх Твій воно	Пс.118:38
Храм Божий святий, а цей храм - ви	1Кор.3:17
Берегти себе від осквернення світом	Як.1:27
Царство Боже не в слові, а в силі	1Кор.4:20
Що Йому завгодно, то нехай створить	1Цар.3:18
Що Він помер, то помер один раз для гріха	Рим.6:10
Що хочете, щоб Я зробив вам?	Мр.10:36
Щоб ви наповнились пізнанням волі Його	Кол.1:9
Щоб радість ваша була повна	1Ін.1:4
Щоб ти був здоровий і досяг успіхів у всьому	3Ін.2
Господи, буду шукати обличчя Твого	Пс.26:8
Я буду... уповати на Бога порятунку мого	Міх.7:7
Я дав вам приклад, щоб і ви робили так само, як Я зробив вам	Ін.13:15
Я є лоза, а ви гілля	Ін.15:5
Я кличу до Бога	Пс.54:17
Твою волю чинити, мій Боже, я хочу	Пс.39:9
Я наповнений сили Духа Господнього	Міх.3:8
Я милості хочу, а не жертви	Ос.6:6
Я не соромлюсь Євангелія Христового	Рим.1:16
Я серед вас, як слуга	Лк.22:27
Я проведу перед тобою всю славу Мою	Насл.ЗЗ:19
Я з тобою, щоб рятувати і визволяти тебе	Єр.15:20
Я Сам згладжую злочини твої	Іс.43:25
Я Світло для світу	Ін.9:5
"Я твій щит; нагорода твоя дуже велика	Бут.15:1"
Я побачив страждання народу Мого	Насл.3:7
Я вкажу тобі, що робити тобі	1Цар.16:3
Я, Бог Ізраїлів, не залишу їх	Іс.41:17
Я, Господь, проникаю серце	Єр.17:10
Без віри догодити Богові неможливо	Євр.11:6
А ти перебувай у тому, чого навчився	2Тим.3:14
Дякуючи Отцеві.. що визволив нас від влади темряви..	Кол.1:13
Благодаттю ви спасені	Еф.2:5
Блаженний, хто пильнує і береже одежу свою	Об.16:15
Блаженний, хто додержує слова пророцтва книги цієї	Об.22:7
Бог не призначив нас на гнів, а щоб ми одержали спасіння	1Сол.5:9
Бог послав Духа Сина Свого в серця ваші	Гал.4:6
Тримаймося твердо сповідання нашого	Євр.4:14
Будь вірний до смерті, і Я дам тобі вінець життя	Об.2:10
Будьте вдячні	Кол.3:15
Будьте тривалі в молитві	Кол.4:2
Велика тайна благочестя: Бог з`явився в тілі	1Тим.3:16
Великі й дивні діла Твої, Господи, Боже Вседержителю!	Об.15:3
Велике надбання - бути побожним і задоволеним	1Тим.6:6
Віра ж є здійснення очікуваного і впевненість у невидимому	Євр.11:1
Віра, яка діє любов`ю	Гал.5:6
Але вірний Господь, Який зміцнить вас і збереже від лукавого	2Сол.3:3
Вкладу Я Закони Мої в помисли їхні, і напишу їх на серцях їхніх	Євр.8:10
"Вникай в себе і вчення; наполегливо тримайся цього	1Тим.4:16"
У всьому показуй собою взірець добрих діл	Тит.2:7
Ви всі сини Божі через віру в Ісуса Христа	Гал.3:26
Усе робіть в ім`я Господа Ісуса Христа	Кол.3:17
"Досліджуйте все; держіться доброго	1Сол.5:21"
Усе можу в Тім, що зміцнює мене	Фил.4:13
Вважаю все за сміття, щоб придбати Христа	 Фил.3:8
Усе я вважаю за ніщо ради переваги пізнання Христа Ісуса	Фил.3:8
Завжди радійте	1Сол.5:16
Ви ще не змагалися до крові, борячись проти гріха	Євр.12:4
Господь близько	Фил.4:5
Нехай мир Божий панує в серцях ваших	Кол.3:15
Приступаймо з довір`ям до престолу благодаті	Євр.4:16
Діла Його були завершені від закладин світу	Євр.4:3
Роблячи добро, бо свого часу пожнемо	Гал.6:9
Тримай, що маєш, щоб ніхто не забрав вінця твого	Об.3:11
Для мене життя - Христос, а смерть - надбання	Фил.1:21
Хто спраглий, нехай прийде, і хто хоче, нехай бере воду життя даром	Об.22:17
Живіть достойно Євангелія Христового	Фил.1:27
За все дякуйте	1Сол.5:18
За те, що перетерпів смерть, увінчаний славою і честю	Євр.2:9
