#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Luter Bible
#language	german

; Scripture taken from the Luter Bible. 
; Public Domain.

Die Erkenntnis bläst auf; aber die Liebe baut auf. 	1Kor.8:1
Und euer Vater sein, und ihr sollt meine Söhne und Töchter sein	2Kor.6:18
Wer aber an diesen glaubt, der ist gerecht. 	Apg.13:39
Und singen auf den Wegen des HERRN	Ps.138:5
Und ich sagte dir zu: Du wirst alsdann mich nennen "Lieber Vater!"	Jer.3:19
Und ich will euch… einen neuen Geist in euch geben	Hes.36:26
Und das Leben war das Licht der Menschen	Joh.1:4
Und alle, die ihn anrührten, wurden gesund	Mk.6:56
Und wir haben erkannt und geglaubt die Liebe, die Gott zu uns hat	1Joh.4:16
Und Frieden auf Erden und den Menschen ein Wohlgefallen. 	Lk.2:14
Und zu warten auf seinen Sohn vom Himmel	1Thes.1:10
Ich will meine Wohnung unter euch haben	3Mose.26:11
Und mein Wort und meine Predigt gaschahen… in Erweisung des Geistes und der Kraft, 	1Kor.2:4
Und also trug er Geduld und erlangte die Verheißung. 	Hebr.6:15
Und der König wird antworten und sagen zu ihnen:… das habt ihr mir getan	Mt.25:40
Denn das Lamm… wird sie weiden	Offb.7:17
Denn der HERR hat Wohlgefallen an seinem Volk	Ps.149:4
Denn des HERRN Tag ist nahe	Zef.1:7
Seine Gnade… waltet über uns in Ewigkeit	Ps.117:2
Denn siehe, ich will einen neuen Himmel und eine neue Erde schaffen	Jes.65:17
Denn auf alle Gottesverheißungen ist in ihm das Ja	2Kor.1:20
Und das Leben ist erschienen	1Joh.1:2
Denn mein Joch ist sanft, und meine Last ist leicht. 	Mt.11:30
Denn ihr Erbarmer wird sie führen	Jes.49:10
Denn wir sind Gottes Mitarbeiter	1Kor.3:9
Denn wir sind für Gott ein guter Wohlgeruch Christi	2Kor.2:15
Denn er selbst, der Vater, hat euch lieb	Joh.16:27
Denn das Wort vom Kreuz ist… eine Gotteskraft. 	1Kor.1:18
Kommt, wir wollen uns zum HERRN fügen	Jer.50:5
Ein Wort der Gerechtigkeit geht aus meinem Munde, dabei soll es bleiben	Jes.45:23
Jesus… lebt immerdar und bittet für sie. 	Hebr.7:22,25
Elia war ein Mensch gleich wie wir	Jak.5:17
Weil wir nun solche Verheißungen haben…, so laßt uns reinigen	2Kor.7:1
Der Name des HERRN ist ein festes Schloß	Spr.18:10
Und sie wurden alle voll des Heiligen Geistes	Apg.2:4
Wer aber den Willen Gottes tut, der bleibt in Ewigkeit. 	1Joh.2:17
Seine Wahrheit für und für	Ps.100:5
Deine Güte reicht, soweit der Himmel ist	Ps.36:5
Und nun, Kindlein, bleibet in ihm	1Joh.2:28
Und die mich frühe suchen, finden mich	Spr.8:17
Meine Seele hanget dir an	Ps.63:8
HERR, dich rufe ich an	Joel.1:19
Jeder aber wird seinen Lohn empfangen nach seiner Arbeit. 	1Kor.3:8
Wie herrlich ist dein Name in allen Landen! 	Ps.8:9
Aber wie köstlich sind vor mir, Gott, deine Gedanken	Ps.139:17
Wie gar unbegreiflich sind sein Gerichte	Röm.11:33
Er wird seine Herde weiden wie ein Hirte	Jes.40:11
Wie lieblich sich die Füße derer, die den Frieden verkündigen	Röm.10:15
Wenn ich mich fürchte, so hoffe ich auf dich	Ps.56:3
Welchen du segnest, der ist gesegnet	4Mose.22:6
Der  wird euch fest erhalten bis ans Ende	1Kor.1:8
Der sich selbst für unsere Sünden gegeben hat	Gal.1:4
Das Blut Jesu, seines Sohnes, macht uns rein von aller Sünde. 	1Joh.1:7
Ist jemand in Christo, so ist er eine neue Kreatur	2Kor.5:17
So jemand durch mich eingeht, der wird selig werden 	Joh.10:9
Wen da dürstet, der komme zu mir und trinke! 	Joh.7:37
Welcher ist aber nun ein treuer und kluger Knecht,	Mt.24:45
Wenn jemand Gott liebt, der ist von ihm erkannt	1Kor.8:3
Wer mir dienen will, der folge mir nach	Joh.12:26
Welche auf ihn sehen, die werden erquickt	Ps.34:5
Wer mir nachfolgt, der wird… das Licht des Lebens haben	Joh.8:12
Und wer da sät im Segen, der wird auch ernten im Segen. 	2Kor.9:6
Wer fromm einhergeht, dem wird geholfen	Spr.28:18
Dem aber, der überschwenglich tun kann über alles… dem sei Ehre in der Gemeinde	Eph.3:20,21
Es ist gut, auf den HERRN zu vertrauen	Ps.118:8
Denn die Liebe Gottes ist ausgegossen in unser Herz durch den heiligen Geist	Röm.5:5
Daran ist erschienen die Liebe Gottes unter uns	1Joh.4:9
Denen, die Gott lieben, alle Dinge zum Besten dienen	Röm.8:28
Ein gütiges Auge wird gesegnet	Spr.22:9
Aber meine Gnade soll nicht von dir weichen	Jes.54:10
Und die Barmherzigkeit rühmt sich wider das Gericht	Jak.2:13
Wenn du mich demütigst, machst du mich groß	Ps.18:35
Des Gerechten Gebet vermag viel	Jak.5:16
Es steht beim Herrn, dir mehr zu geben als dies. 	2Chr.25:9
Und das Gebet des Glaubens wird dem Kranken helfen	Jak.5:15
Der Gerechten Gebet erhört er	Spr.15:29
Ich will die Finsternis vor ihnen her zum Licht machen 	Jes.42:16
Wir sind Narren um Christi willen	1Kor.4:10
Aber wir wandeln im Namen des HERRN	Mi.4:5
Wir aber, die wir Kinder des Tages sind, wollen nüchtern sein,	1Thes.5:8
So haben wir einen Bau, von Gott erbaut, ein Haus… im Himmel. 	2Kor.5:1
Wir aber predigen den gekreuzigten Christus	1Kor.1:23
Denn wir wandeln im Glauben, und nicht im Schauen	2Kor.5:7
Lebenslang seine Gnade	Ps.30:5
Ich traue auf den HERRN	Ps.11:1
Auf ihn hofft mein Herz, und mir ist geholfen	Ps.28:7
HERR, ich warte auf dein Heil! 	1Mose.49:18
Dein Segen komme über dein Volk	Ps.3:8
Und will auf ihn schreiben…meinen Namen, den neuen. 	Offb.3:12
Und leite mich auf ewigem Wege	Ps.139:24
Er heißt Held	Jes.9:6
Daß mein Volk in Häusern des Friedens wohnen wird	Jes.32:18
Siehe, es kommt dem HERRN die Zeit	Sach.14:1
Die Stunde da ist, aufzustehen vom Schlaf	Röm.13:11
HERR, weise mir deinen Weg	Ps.27:11
Lehre mich tun nach deinem Wohlgefallen, denn du bist mein Gott	Ps.143:10
Daß er uns lehre seine Wege	Jes.2:3
Lernet Gutes tun	Jes.1:17
Unsre Gemeinschaft ist mit dem Vater und mit seinem Sohn Jesus Christus. 	1Joh.1:3
Fürchte dich nicht, ich helfe dir! 	Jes.41:13
Fürchtet euch nur nicht und stärket eure Hände. 	Sach.8:13
Ich halte mein Leben auch nicht selbst teuer	Apg.20:24
Und vergiß nicht, was er dir Gutes getan hat	Ps.103:2
Denn er hat den, der von keiner Sünde wußte, für uns zur Sünde gemacht,	2Kor.5:21
Der HERR verzieht nicht die Verheißung	2Chr.3:9
Denn er wird des Armen nicht so ganz vergessen	Ps.9:18
Und betrübet nicht den heiligen Geist Gottes	Eph.4:30
Gut hilft nicht am Tage des Zorns	Spr.11:4
Richtet nicht, auf daß ihr nicht gerichtet werdet	Mt.7:1
Der Mensch lebt nicht vom Brot allein	Mt.4:4
Nicht also, sondern wir wollen dem HERRN dienen	Jos.24:21
Willst du uns denn nicht wieder erquicken	Ps.85:6
Jaget allezeit dem Guten nach	1Thes.5:15
Und wenn ihr auch leidet um der Gerechtigkeit willen, so seid ihr doch selig.	1Petr.3:14
Als sie… ihn suchten, ließ er sich von ihnen finden 	2Chr.15:4
Sondern darum, daß er euch geliebt hat	5Mose.7:8
Wir haben aber diesen Schatz in irdenen Gefäßen	2Kor.4:7
Aber du, HERR, sei nicht ferne	Ps.22:19
Nun aber ist Christus auferstanden von den Toten	1Kor.15:20
Aber Noah fand Gnade vor dem HERRN. 	1Mose.6:8
O welch eine Tiefe des Reichtums, beides, der Weisheit und Erkenntnis Gottes!	Röm.11:33
Sie werden über deinen Namen täglich fröhlich sein	Ps.89:16
Sondern ziehet an den HERRN Jesus Christus	Röm.13:14
Sondern ziehet an den HERRN Jesus Christus	Röm.13:14
Seid stark in dem HERRN und in der Macht seiner Stärke	Eph.6:10
Anlegen die Waffen des Lichtes	Röm.13:12
Kehre dich zu mir; denn ich erlöse dich. 	Jes.44:22
Ich halte mich zu denen, die dich fürchten	Ps.119:63
Es ist aller zumal ein HERR, reich über alle, die ihn anrufen. 	Röm.10:12
Hat er doch an dem, was er litt Gehorsam gelernt	Hebr.5:8
Das Warten der Gerechten wird Freude werden	Spr.10:28
Und wartet auf die Barmherzigkeit unsers HERRN Jesu Christi 	Jud.21
Der unsre Sünde hinaufgetragen hat an seinem Leibe auf das Holz	1Petr.2:24
Tat er von ganzem Herzen, und es gelang ihm 	2Chr.31:21
Und darum ist er auch ein Mittler des neuen Testaments	Hebr.9:15
Und er wird Israel erlösen aus allen seinen Sünden	Ps.130:8
Denn er wird den Armen erretten, der da schreit	Ps.72:12
Er sättigt die durstige Seele	Ps.107:9
Darum schämt er sich auch nicht, sie Brüder zu heißen, 	Hebr.2:11
Und führet mich zum frischen Wasser	Ps.23:2
Denn sie sind unsträflich vor dem Stuhl Gottes	Offb.14:5
Sie werden vergehen, aber du bleibest	Ps.102:26
HERR, sie werden im Licht deines Antlitzes wandeln	Ps.89:15
Und haben ihre Kleider hell gemacht im Blut des Lammes. 	Offb.7:14
Nun wir denn sind gerecht geworden durch den Glauben	Röm.5:1
Wenn ihr umkehrtet und stillebliebet, so würde euch geholfen	Jes.30:15
