#BIBLE VERSE DESKTOP

#name   	Thai Bible
#language	thai
#charset	thai

; Scripture taken from the Thai Bible. 

องค์พระผู้เป็นเจ้านั้นทรงเปี่ยมไปด้วยพระเมตตากรุณาสักเท่าใด	ยก.5:11
และพระเยโฮวาห์ทรงวางลงบนท่านซึ่งความชั่วช้าของเราทุกคน	อสย.53:6
พระเยโฮวาห์จะทรงปูนความกรุณาและเกียรติ	สดด.84:11
ขอทรงลืมพระเนตรของพระองค์ดูอยู่  เพื่อจะทรงฟังคำอธิษฐานของผู้รับใช้ของพระองค์	นหม.1:6
ทรงให้สำเร็จพระประสงค์ของพระองค์แก่ข้าพระองค์		สดด.138:8
พระเยโฮวาห์พระเจ้า ผู้ทรงพระกรุณา ทรงกอปรด้วยพระคุณ	อพย.34:6
และจะไม่จดจำบาปของเขาทั้งหลายอีกต่อไป	ยรม.31:34
พระเจ้าของเราเสด็จมา  พระองค์มิได้ทรงเงียบอยู่	สดด.50:3 
ขอให้เป็นไปตามพระทัยพระเจ้าเถิด		กจ.21:14
ขอความเมตตาของพระองค์เป็นที่เล้าโลมข้าพระองค์	สดด.119:76
ขอพระหัตถ์ของพระองค์ทรงช่วยข้าพระองค์	สดด.119:173
ข้าพระองค์จะอยู่ในพลับพลาของพระองค์เป็นนิตย์		สดด.61:4
เพื่อเราทั้งหลายจะได้เกิดผลถวายแด่พระเจ้า	รม.7:4
ขอด้วยความเชื่อ อย่าสงสัยเลย	ยก.1:6
ทูลขอจากพระเจ้า ผู้ทรงโปรดประทานให้แก่คนทั้งปวงด้วยเต็มพระทัยและมิได้ทรงติว่า	ยก.1:5
เพื่อให้เราได้รับฐานะเป็นบุตร	กท.4:5
ของประทานของพระเจ้าคือชีวิตนิรันดร์	รม.6:23
ท่านทั้งหลายได้รับเปล่าๆจงให้เปล่าๆ	มธ.10:8
พระเจ้ามิได้ทรงกลับพระทัยในการที่ได้ทรงให้ของประทาน	รม.11:29
ความเชื่อนั้นก็ถึงที่สำเร็จโดยการประพฤติ	ยก.2:22
ผลของความชอบธรรมคือความสงบ	อสย.32:17
จงชื่นใจเถิด บาปของเจ้าได้รับอภัยแล้ว	มธ.9:2
และจงถือว่า การที่พระองค์ของเราทรงอดกลั้นพระทัยไว้นานนั้นเป็นการช่วยให้รอด	2ปต.3:15
ท่านทั้งหลายก็จงอดทนเช่นนั้นเหมือนกัน จงตั้งอกตั้งใจให้ดี	ยก.5:8
ที่เขาจะมีชีวิตเรื่อยไปเป็นนิตย์	สดด.49:9
จงฉวยโอกาสเพราะว่าทุกวันนี้เป็นกาลที่ชั่ว	อฟ.5:16
จงมุ่งหาความรัก และจงปรารถนาของประทานฝ่ายจิตวิญญาณ	1คร.14:1
