#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Louis Segond Bible
#copyright	Public Domain
#language	french 

; Scripture taken from the Louis Segond Bible.
; Public Domain.

L'Esprit de gloire, l'Esprit de Dieu, repose sur vous	1Pi.4:14
Soyez fervents d'esprit. Servez le Seigneur	Ro.12:11
Il y a un seul Dieu… un Seul médiateur entre Dieu et les hommes, Jésus-Christ homme	1Ti.2:5
Si Dieu est pour nous, qui sera contre nous?	Ro.8:31
Si tu le cherches, il se laissera trouver par toi	1Ch.28:9
Encore un peu,… celui qui doit venir viendra et  il ne tardera pas	Hé.10:37
Votre vie est cachée avec Christ en Dieu	Col.3:3
Il bénit la demeure des justes	Pr.3:33
Il a fait avec moi une alliance éternelle	2S.23:5
Vous avez été scellés du Saint-esprit	Ép.1:13
Car l'Éternel connaît la voie des justes, et la voie des pécheurs mčne ŕ la ruine	Ps.1:6
Votre Pčre sait de quoi vous avez besoin, avant que vous le lui demandiez	Mt.6:8
La connaissance enfle, mais la charité édifie	1Co.8:1
Je serai pour vous un pčre, et vous serez pour moi des fils et des filles	2Co.6:18
Et que quiconque crois est justifié par lui de toutes les choses	Ac.13:39
Ils célébreront les voies de l'Éternel	Ps.138:5
Je disais: Tu m'appelleras: Mon pčre!	Jé.3:19
Je vous donnerai un cśur nouveau	Éz.36:26
En elle était la vie, et la vie était la lumičre des hommes	Jn.1:4
Et tous ceux qui le touchaient étaient guéris.	Mc.6:56
Et nous, nous avons connu l'amour que Dieu a pour nous 	1Jn.4:16
Gloire ŕ Dieu dans les lieux trčs hauts, et paix sur la terre parmi les hommes qu'Il agrée! 	Lu.2:14
Et pour attendre des cieux son Fils	1Th.1:10
J'établirai ma demeure au milieu de vous	Lé.26:11
Et ma parole et ma prédication… une démonstration d'Esprit et de puissance	1Co.2:4
Et c'est ainsi qu'Abraham, ayant persévéré, obtint l'effet de la promesse.	Hé.6:15
Et le roi leur répondra:… c'est ŕ moi que vous les avez faites. 	Mt.25:40
Car l'agneau qui est au milieu du trône les paîtra et les conduira aux sources des eaux de la vie	Ap.7:17
Car l'Éternel prend plaisir ŕ son peuple	Ps.149:4
Le jour de l'Éternel est proche	So.1:7
Car sa bonté pour nous est grande, et sa fidélité dure ŕ toujours. 	Ps.117:2
Car je vais créer des nouveaux cieux et une nouvelle terre	És.65:17
C'est pourquoi encore l'Amen par lui est prononcé par nous ŕ sa gloire.	2Co.1:20
Car la vie a été manifestée 	1Jn.1:2
Car mon joug est doux, et mon fardeau léger. 	Mt.11:30
Car celui qui a pitié d'eux sera leur guide	És.49:10
Car nous sommes ouvriers avec Dieu.	1Co.3:9
Nous sommes, en effet, pour Dieu la bonne odeur de Christ	2Co.2:15
Car le Pčre lui-męme vous aime	Jn.16:27
Car la prédication de la croix est… une puissance de Dieu.	1Co.1:18
Venez et attachez-vous ŕ l'Éternel	Jé.50:5
La vérité sort de ma bouche et ma parole ne sera point révoquée	És.45:23
Jésus… toujours vivant pour intercéder en leur faveur	Hé.7:22,25
Élie était un homme de la męme nature que nous 	Ja.5:17
Ayant donc de telles promesses, bien-aimés, purifions-nous 	2Co.7:1
Le nom de l'Éternel est une tour forte	Pr.18:10
Il a été tenté comme nous en toutes choses, sans commettre de péché.	Hé.4:15
Celui qui fait la volonté de Dieu demeure éternellement. 	1Jn.2:17
Car l'Éternel est bon; sa bonté dure toujours… 	Ps.100:5
Éternel! ta bonté atteint jusqu'aux cieux	Ps.36:6
Et maintenant, petits enfants, demeurez en lui	1Jn.2:28
Ceux qui me cherchent me trouvent.	Pr.8:17
Mon âme est attachée ŕ toi; ta droite me soutient.	Ps.63:9
C'est vers toi que je crie, ô Éternel	Joë.1:19
Chacun recevra sa propre récompense selon son propre travail.	1Co.3:8
Que ton nom est magnifique sur toute la terre! 	Ps.8:10
Que tes pensées, ô Dieu, me semblent impénétrables! 	Ps.139:17
Que ses jugements sont insondables, et ses voies incompréhensibles! 	Ro.11:33
Comme un berger, il paîtra son troupeau	És.40:11
Qu'ils sont beaux les pieds de ceux qui annoncent la paix	Ro.10:15
Quand je suis dans la crainte, en toi je me confie.	Ps.56:4
Celui que tu bénis est béni, et que celui que tu maudis est maudit. 	No.22:6
Il nous affermira aussi jusqu'ŕ la fin	1Co.1:8
J-C s'est donné lui-męme pour nos péché	Ga.1:4
Le sang de Jésus son fils nous purifie de tout péché.	1Jn.1:7
Si quelqu'un est en Christ, il est une nouvelle créature. 	2Co.5:17
Si quelqu'un entre par moi il sera sauvé	Jn.10:9
Si quelqu'un a soif, qu'il vienne ŕ moi, et qu'il boive. 	Jn.7:37
Quel est donc le serviteur fidčle et prudent?	Mt.24:45
Mais si quelqu'un aime Dieu, celui-lŕ est connu de lui. 	1Co.8:3
Si quelqu'un me sert, qu'il me suive	Jn.12:26
Quand on tourne vers lui les regards, on est rayonnant de joie	Ps.34:6
Celui qui me suit…aura la lumičre de la vie.	Jn.8:12
Celui qui sčme peu moissonnera peu, et celui qui sčme abondamment moissonnera abondamment.	2Co.9:6
Les hommes intčgres héritent le bonheur	Pr.28:18
Celui qui peut faire par la puissance qui agit en nous,… ŕ lui soit la gloire	Ép.3:20,21
Mieux vaut chercher un refuge en l'Éternel que de se confier ŕ l'homme	Ps.118:8
L'amour de Dieu est répandu dans nos cśurs par le Saint Esprit qui nous a été donné. 	Ro.5:5
L'Amour de Dieu a été manifesté envers nous	1Jn.4:9
Toutes choses concourent au bien de ceux qui aiment Dieu	Ro.8:28
L'homme dont le regard est bienveillant sera béni 	Pr.22:9
Mon amour ne s'éloignera point de toi	És.54:10
La miséricorde triomphe du jugement. 	Ja.2:13
Ta droite me soutient, Et je deviens grand par ta bonté.	Ps.18:36
La pričre fervente du juste a une grande efficace. 	Ja.5:16
L'Éternel peut te donner bien plus que cela.	2Ch.25:9
La pričre de la foi sauvera le malade	Ja.5:15
Il écoute la pričre des justes.	Pr.15:29
Je changerai de devant eux les ténčbres en lumičre	És.42:16
Nous sommes fous ŕ cause de Christ	1Co.4:10
Nous marcherons, nous, au nom de l'Éternel, notre Dieu, ŕ toujours et ŕ perpétuité.	Mi.4:5
Nous qui sommes des jours, soyons sobres	1Th.5:8
Nous avons dans le ciel un édifice qui est l'ouvrage de Dieu	2Co.5:1
Nous, nous pręchons Christ crucifié	1Co.1:23
Car nous marchons par la foi et non par la vue	2Co.5:7
Sa colčre dure un instant, Mais sa grâce toute la vie	Ps.30:6
C'est en l'Éternel que je cherche un refuge. 	Ps.11:1
En lui mon coeur se confie, et je suis secouru	Ps.28:7
J'espčre en ton secours, ô Éternel!	Ge.49:18
Que ta bénédiction soit sur ton peuple!	Ps.3:9
J'écrirai sur lui le nom de mon Dieu,… et mon nom nouveau.	Ap.3:12
Regarde si je suis sur une mauvaise voie, et conduis-moi sur la voie de l'éternité! 	Ps.139:24
On l'appellera Admirable, Conseiller, Dieu puissant	És.9:5
Mon peuple demeurera dans le séjour de la paix	És.32:18
Voici, le jour de l'Éternel arrive	Za.14:1
C'est l'heure de vous réveiller enfin du sommeil	Ro.13:11
Éternel! enseigne-moi ta voie 	Ps.27:11
Enseigne-moi ŕ faire ta volonté! Car tu es mon Dieu. 	Ps.143:10
Venez, et montons…afin qu'il nous enseigne ses voies	És.2:3
Apprenez ŕ faire le bien	És.1:17
Notre communion est avec le Pčre et avec son Fils Jésus-Christ. 	1Jn.1:3
Ne crains rien, je viens ŕ ton secours.	És.41:13
Ne craignez pas, et que vos mains se fortifient!	Za.8:13
Mais je ne fais pour moi-męme aucun cas de ma vie	Ac.20:24
Mon âme, bénis l'Éternel, Et n'oublie aucun de ses bienfaits! 	Ps.103:2
Celui qui n'a point connu le péché, il l'a fait devenir péché pour nous	2Co.5:21
Le Seigneur ne tarde pas dans l'accomplissement de la promesse	2Pi.3:9
L'espérance des misérables ne périt pas ŕ toujours.	Ps.9:19
N'attristez pas le Saint-esprit de Dieu 	Ép.4:30
La richesse ne sert ŕ rien; mais la justice délivre de la mort. 	Pr.11:4
Ne jugez point, afin que vous ne soyez point jugés. 	Mt.7:1
L'homme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu.	Mt.4:4
Non! Nous servirons l'Éternel.	Jos.24:21
Ne nous rendras-tu pas ŕ la vie, afin que ton peuple se réjouisse en toi? 	Ps.85:7
Poursuivez toujours le bien	1Th.5:15
D'ailleurs, quand vous souffririez pour la justice, vous seriez heureux. 	1Pi.3:14
Mais au sein de leur détresse ils sont retournes ŕ l'Eternel… ils l'ont trouvé	2Ch.15:4
Mais, par ce que l'Éternel vous aime 	De.7:8
Nous portons ce trésor dans des vases de terre 	2Co.4:7
Et toi, Éternel, ne t'éloigne pas! Toi qui es ma force, viens en hâte ŕ mon secours! 	Ps.22:20
Mais maintenant, Christ est ressuscité des morts	1Co.15:20
Mais Noé trouva grâce aux yeux de l'Éternel.	Ge.6:8
O profondeur de la richesse, de la sagesse et de la science de Dieu!	Ro.11:33
Il se réjouit sans cesse de ton nom, et il se glorifie de ta justice.	Ps.89:17
Mais revętez-vous du Seigneur Jésus-Christ 	Ro.13:14
Mais revętez-vous du Seigneur Jésus-Christ 	Ro.13:14
Fortifiez-vous dans le Seigneur et par sa force toute puissante.	Ép.6:10
Revętons les armes de la lumičre.	Ro.13:12
Reviens ŕ moi, car je t'ai racheté.	És.44:22
Je suis l'ami de tous ceux qui te craignent	Ps.119:63
Il n'y a aucune différence, en effet, entre le Juif et le Grec, puisqu'ils ont tous un męme Seigneur	Ro.10:12
Bien qu'Il fűt fils, l'obéissance par les choses qu'il a souffertes	Hé.5:8
L'attente des justes n'est que joie, mais l'espérance des méchants périra. 	Pr.10:28
Maintenez-vous dans l'amour de Dieu, en attendant la miséricorde de notre Seigneur Jésus-Christ	Jude.21
Lui qui a porté lui-męme nos péchés en son corps sur le bois 	1Pi.2:24
Il agit de tout son cśur, et il réussit dans tout ce qu'il entreprit	2Ch.31:21
Il est le médiateur d'une nouvelle alliance	Hé.9:15
C'est lui qui rachčtera Israël de toutes ses iniquités.	Ps.130:8
Car il délivrera le pauvre qui crie, et le malheureux qui n'a point d'aide.	Ps.72:12
Il a satisfait l'âme altérée, Il a comblé de biens l'âme affamée.	Ps.107:9
Il n'a pas honte de les appeler frčres.	Hé.2:11
Il me fait reposer dans de verts pâturages, Il me dirige prčs des eaux paisibles.	Ps.23:2
Dans leur bouche il ne s'est point trouvé de mensonge, car ils sont irrépréhensibles.	Ap.14:5
Ils périront, mais tu subsisteras	Ps.102:27
Heureux le peuple qui connaît le son de la trompette; Il marche ŕ la clarté de ta face	Ps.89:16
Ils ont lavé leurs robes, et ils les ont blanchies dans le sang de l'agneau.	Ap.7:14 
Étant donc justifiés par la foi, nous avons la paix avec Dieu par notre Seigneur Jésus-Christ 	Ro.5:1
C'est dans la tranquillité et le repos que sera votre salut	És.30:15
Pardonne-moi ceux que j'ignore. 	Ps.19:3
Nous sommes pressés de toute maničre, mais non réduits ŕ l'extrémité 	2Co.4:8
Nous attestons que le Pčre a envoyé le Fils comme Sauveur du monde. 	1Jn.4:14
La révélation de tes paroles éclaire, elle donne de l'intelligence aux simples. 	Ps.119:130
Les yeux du Seigneur sont sur les justes	1Pi.3:12
Christ, notre Pâque été immolé	1Co.5:7
Je rassasierai de pain ses indigents	Ps.132:15
Souviens-toi de moi selon ta miséricorde, ŕ cause de ta bonté, ô Éternel!	Ps.25:7
Celui qui vaincra héritera ces choses; je serai son Dieu, et il sera mon fils.	Ap.21:7
J'ai combattu le bon combat	2Ti.4:7
Je suis bien humilié: Éternel, rends-moi la vie selon ta parole!	Ps.119:117
Le Seigneur connaît ceux qui lui appartiennent	2Ti.2:19
Prosternez-vous devant l'Éternel avec des ornements sacrés. 	Ps.96:9
Soumettez-vous donc ŕ Dieu; résistez au diable, et il fuira loin de vous. 	Ja.4:7
La sagesse d'en haut est… pleine de miséricorde et de bons fruits	Ja.3:17
Il y a d'abondantes joies devant ta face, des délices éternelles ŕ ta droite. 	Ps.16:11
Mettez dans votre cśur et dans votre âme ces paroles que je vous dis.	De.11:18
Notre secours est dans le nom de l'Éternel, qui a fait les cieux et la terre. 	Ps.124:8
Souviens-toi favorablement de moi, ô mon Dieu!	Né.13:31
Écoute la voix de l'Éternel dans ce que je te dis	Jé.38:20
Celui qui agit selon la vérité vient de ŕ la lumičre	Jn.3:21
Envoie ta lumičre et ta fidélité! 	Ps.43:3
Recommande ton sort ŕ l'Éternel, Mets en lui ta confiance, et il agira. 	Ps.37:5
Espčre en l'Éternel, et il te délivrera.	Pr.20:22
Que tes bien-aimés jouissent du bonheur!	2Ch.6:41
Mais celui qui persévérera jusqu'ŕ la fin sera sauvé	Mt.24:13
Je dis ŕ l'Éternel: mon refuge et ma forteresse, mon Dieu en qui je me confie! 	Ps.91:2
Approchez-vous de Dieu, et il s'approchera de vous. 	Ja.4:8
Je reviendrai, et je vous prendrai avec moi	Jn.14:3
Mon Dieu, pręte l'oreille et écoute!	Da.9:18
Soyez réconciliés avec Dieu!	2Co.5:20
Je vous recevrai comme un parfum d'une agréable odeur	Éz.20:41
Celui qui vient ŕ moi n'aura jamais faim	Jn.6:35
L'avčnement du Seigneur est proche.	Ja.5:8
Les eaux jailliront dans le désert	És.35:6
Glorifiez donc Dieu dans votre corps et dans votre esprit	1Co.6:20
Vos péchés vous sont pardonnés ŕ cause de son nom. 	1Jn.2:12
